date,cash,stock_value,total_value
2025-10-01 10:00:00,10000.0,0.0,10000.0
2025-10-01 11:00:00,10000.0,0.0,10000.0
2025-10-01 12:00:00,10000.0,0.0,10000.0
2025-10-01 13:00:00,10000.0,0.0,10000.0
2025-10-01 14:00:00,10000.0,0.0,10000.0
2025-10-01 15:00:00,10000.0,0.0,10000.0
2025-10-02 10:00:00,8104.0,1892.6,9996.6
2025-10-02 11:00:00,8104.0,1896.3,10000.3
2025-10-02 12:00:00,8104.0,1894.25,9998.25
2025-10-02 13:00:00,8104.0,1887.6,9991.6
2025-10-02 14:00:00,8104.0,1889.074,9993.074
2025-10-02 15:00:00,6633.1,3363.3999999999996,9996.5
2025-10-02 15:00:00,5621.05,4381.78,10002.83
2025-10-02 15:00:00,5119.825,4878.639999999999,9998.465
2025-10-02 15:00:00,3572.755,6435.509999999999,10008.265
2025-10-02 15:00:00,2529.925,7450.109999999999,9980.035
2025-10-02 15:00:00,977.0050000000001,8996.939999999999,9973.945
2025-10-03 10:00:00,787.815,9186.8988,9974.713800000001
2025-10-03 11:00:00,787.815,9192.664999999999,9980.48
2025-10-03 12:00:00,787.815,9173.2628,9961.077800000001
2025-10-03 13:00:00,787.815,9102.122299999999,9889.9373
2025-10-03 14:00:00,787.815,9113.4929,9901.3079
2025-10-03 15:00:00,270.71500000000003,9635.061,9905.776
2025-10-03 15:00:00,26.225000000000023,9880.511,9906.736
2025-10-03 15:00:00,759.695,9144.161,9903.856
2025-10-03 15:00:00,515.205,9389.610999999999,9904.815999999999
2025-10-03 15:00:00,26.225000000000023,9880.511,9906.736
2025-10-06 10:00:00,705.5600000000001,9528.960000000001,10234.52
2025-10-06 11:00:00,705.5600000000001,9585.0844,10290.6444
2025-10-06 12:00:00,705.5600000000001,9568.8522,10274.412199999999
2025-10-06 13:00:00,705.5600000000001,9578.7857,10284.3457
2025-10-06 14:00:00,705.5600000000001,9595.1727,10300.732699999999
2025-10-06 15:00:00,216.00000000000006,10068.2,10284.2
2025-10-07 10:00:00,216.00000000000006,10087.885000000002,10303.885000000002
2025-10-07 11:00:00,216.00000000000006,9997.4836,10213.4836
2025-10-07 12:00:00,216.00000000000006,9996.9747,10212.9747
2025-10-07 13:00:00,216.00000000000006,9995.503999999997,10211.503999999997
2025-10-07 14:00:00,216.00000000000006,10026.211,10242.211
2025-10-07 15:00:00,216.00000000000006,10023.665,10239.665
2025-10-08 10:00:00,216.00000000000006,10129.679999999998,10345.679999999998
2025-10-08 11:00:00,216.00000000000006,10146.064999999999,10362.064999999999
2025-10-08 12:00:00,216.00000000000006,10143.312699999999,10359.312699999999
